Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,26.29793357849121,26.496658008168833,25.65207602339116,25.65207602339116,212976
2002-08-13,25.94188117980957,26.75334278363243,25.751437476123137,26.33105182446031,153576
2002-08-14,24.15336799621582,25.99985338851815,23.66483369763524,25.99985338851815,822776
2002-08-15,24.15336799621582,24.15336799621582,24.15336799621582,24.15336799621582,0
2002-08-16,24.095401763916016,25.171828646840098,23.68139142432983,24.029161120349656,811856
2002-08-19,23.499231338500977,24.294131881069372,23.275667219194318,24.294131881069372,205880
2002-08-20,24.15336799621582,25.65208363815892,23.507510249394244,23.66483369763524,3773624
2002-08-21,25.337434768676758,25.96673103955706,24.19476715262159,25.486477491842642,3011064
2002-08-22,26.430423736572266,27.539971052384566,26.041252967624025,26.17373679494165,6732480
2002-08-23,28.020235061645508,28.897937981363174,26.339353146849977,26.662280888249118,4841672
2002-08-26,27.92085838317871,28.649515571928536,27.697291788468483,28.467350011281788,2576912
2002-08-27,27.225313186645508,29.311925869477204,26.99346845607223,28.152697162774718,3694224
2002-08-28,27.250164031982422,27.55653020057257,26.687108392522475,27.142519815786812,1674960
2002-08-29,27.250164031982422,27.738695780645845,26.99347708803148,27.084559878068116,1236544
2002-08-30,29.1794376373291,29.891535668329343,27.32467249459469,27.332953203764465,3762384
2002-09-02,29.477540969848633,30.45460451931759,29.17945297151131,29.64314513260059,2389568
2002-09-03,28.094738006591797,29.767340632893042,27.821492218781813,29.643137542630623,986784
2002-09-04,28.707469940185547,28.980715677232304,27.415757536045334,27.73868500535092,1449856
2002-09-05,28.533605575561523,29.717674653312336,28.152715391353393,29.585190781380856,1061360
2002-09-06,27.473724365234375,28.6495147079464,27.16735823855484,28.6495147079464,907472
2002-09-09,27.117677688598633,28.276906658492926,26.165453891899748,26.165453891899748,880848
2002-09-10,27.117677688598633,27.117677688598633,27.117677688598633,27.117677688598633,0
2002-09-11,27.804922103881836,28.28517541891552,27.26670888099554,27.26670888099554,635936
2002-09-12,27.945690155029297,28.63294611696361,27.75524646251773,28.14441455741482,781968
2002-09-13,27.150793075561523,27.970532907022534,26.91894833449394,26.96863007241361,338264
2002-09-16,26.6208553314209,27.556517354075467,26.413850235531157,27.40747469580192,288592
2002-09-17,27.399206161499023,27.57309102469618,27.01003792444888,27.101118185578006,462952
2002-09-18,26.554624557495117,27.324682788962058,26.331057960272528,27.241880719904596,315432
2002-09-19,26.33104705810547,27.208749132092496,25.9998389190098,26.33104705810547,490848
2002-09-20,25.900493621826172,26.28138375415995,25.27947792571219,25.38712216252355,501072
2002-09-23,25.46163558959961,26.148891734583984,25.353993913321567,26.082651091784964,248504
2002-09-24,24.600492477416992,25.370550622960362,24.327244163865423,25.370550622960362,267912
2002-09-25,24.79094123840332,25.006227143031733,23.84699807017596,24.029163649535118,379544
2002-09-26,25.180112838745117,25.577561808905315,25.00622796670543,25.304315957785043,178136
2002-09-27,25.486469268798828,25.834238879871982,25.097301160797688,25.097301160797688,206288
2002-09-30,24.559099197387695,25.48648104384729,24.029166352708053,25.097312756045906,202232
2002-10-01,24.352088928222656,25.006224766056985,23.92979787215387,24.67501649100987,240192
